RA,Dec,Magnitude,Bayer,Full Bayer,English Name,Flamsteed
100.33749999999999,16.3975,6.28,-,-,-,-
100.32083333333334,11.003333333333334,6.11,-,-,-,-
100.77083333333333,44.52444444444444,5.02,ψ,ψ-Aur,-,55-Aur
99.92500000000001,-30.470277777777778,5.71,-,-,-,-
100.27083333333333,0.49527777777777776,5.79,-,-,-,-
99.65416666666667,-48.22027777777778,4.93,-,-,-,-
101.04583333333333,53.296388888888885,6.27,-,-,-,-
100.80416666666666,37.14694444444444,6.19,-,-,-,-
99.98333333333333,-38.15888888888889,6.58,-,-,-,-
100.6,17.64527777777778,5.21,-,-,-,26-Gem
100.49583333333332,6.345,6.37,-,-,-,-
99.49999999999999,-61.533055555555556,6.18,-,-,-,-
100.48333333333332,-9.167222222222222,5.19,-,-,-,-
101.55833333333334,59.44166666666666,4.87,-,-,-,12-Lyn
101.04999999999998,36.109722222222224,6.31,-,-,-,-
100.97916666666667,25.13111111111111,2.98,ε,ε-Gem,-,27-Gem
100.775,3.033333333333333,6.19,-,-,-,-
100.30833333333334,-40.349722222222226,6.12,-,-,-,-
100.20416666666667,-47.67472222222222,6.65,-,-,-,-
101.70416666666667,57.16916666666666,5.35,-,-,-,13-Lyn
100.99583333333332,13.227777777777778,4.49,-,-,-,30-Gem
100.90833333333333,3.9322222222222223,5.9,-,-,-,-
101.18750000000001,28.97083333333333,5.44,-,-,-,28-Gem
100.68750000000001,-22.449166666666667,6.13,-,-,-,-
100.56666666666666,-38.39861111111111,6.29,-,-,-,-
101.68333333333334,43.5775,5.25,ψ,ψ-Aur,-,56-Aur
101.32083333333334,12.895555555555555,3.36,ξ,ξ-Gem,-,31-Gem
102.04999999999998,55.70444444444445,6.33,-,-,-,-
102.04999999999998,55.70444444444445,6.28,-,-,-,-
101.91250000000001,48.78944444444444,5.22,ψ,ψ-Aur,-,57-Aur
100.84583333333335,-39.19333333333333,6.3,-,-,-,-
101.475,12.693611111111112,6.46,-,-,-,32-Gem
102.7375,67.57194444444444,5.14,-,-,-,42-Cam
101.28333333333333,-16.71611111111111,-1.46,α,α-CMa,Sirius,9-CMa
101.11666666666667,-31.070555555555554,5.2,-,-,-,10-CMa
101.21250000000002,-27.341388888888886,6.45,-,-,-,-
101.63333333333333,8.587222222222223,5.93,-,-,-,16-Mon
101.34583333333335,-23.461944444444445,6.05,-,-,-,-
101.25833333333333,-30.58611111111111,6.54,-,-,-,-
101.49583333333332,-14.796111111111111,5.32,-,-,-,-
101.84583333333335,18.193333333333335,6.2,-,-,-,-
101.34166666666667,-31.79361111111111,5.92,-,-,-,-
101.37916666666665,-30.948888888888888,5.8,-,-,-,-
101.66250000000001,-10.107222222222221,5.66,-,-,-,-
101.82916666666667,8.037222222222223,4.77,-,-,-,17-Mon
101.7125,-14.425833333333333,5.29,-,-,-,11-CMa
100.2375,-71.77555555555556,6.51,-,-,-,-
101.9625,2.4122222222222223,4.47,-,-,-,18-Mon
101.5125,-39.54,6.62,-,-,-,-
101.90416666666665,-8.998333333333333,5.07,-,-,-,-
101.75416666666668,-21.015555555555554,6.08,-,-,-,12-CMa
101.54999999999998,-37.775555555555556,6.21,-,-,-,-
103.425,68.88833333333334,5.12,-,-,-,43-Cam
102.42083333333333,32.60666666666667,5.71,-,-,-,-
101.35833333333335,-52.20111111111111,6.57,-,-,-,-
102.07916666666667,-1.3191666666666666,5.75,-,-,-,-
101.47083333333332,-52.41,5.8,-,-,-,-
102.6875,41.78138888888889,5.02,ψ,ψ-Aur,-,58-Aur
102.2625,1.0019444444444445,6.15,-,-,-,-
101.83749999999999,-37.92972222222222,5.26,-,-,-,-
102.45416666666667,16.202777777777776,5.85,-,-,-,33-Gem
103.27083333333333,59.448611111111106,5.33,-,-,-,14-Lyn
102.31666666666666,-2.2719444444444443,5.74,-,-,-,-
102.2375,-15.14472222222222,5.39,-,-,-,-
101.71666666666667,-51.26583333333333,5.4,-,-,-,-
101.67083333333333,-54.69472222222222,6.46,-,-,-,-
102.60416666666667,13.413333333333334,5.65,-,-,-,35-Gem
101.82499999999999,-55.54,5.61,-,-,-,-
105.01666666666667,76.9775,4.55,-,-,-,-
102.43333333333334,-24.075833333333332,6.33,-,-,-,-
102.8875,21.761111111111113,5.27,-,-,-,36-Gem
102.70416666666667,-0.5408333333333333,5.77,-,-,-,-
100.9,-73.11805555555554,6.37,-,-,-,-
103.27916666666667,44.839444444444446,6.26,-,-,-,-
103.00000000000001,23.601666666666667,5.65,-,-,-,-
102.675,-8.04111111111111,6.29,-,-,-,-
102.58749999999999,-17.083888888888886,5.79,-,-,-,-
101.23333333333332,-70.43388888888889,6.11,-,-,-,-
102.525,-27.333888888888886,7.04,-,-,-,-
102.45833333333334,-32.50861111111111,3.96,κ,κ-CMa,-,13-CMa
103.25416666666666,38.869166666666665,6.12,-,-,-,59-Aur
103.19583333333335,33.961111111111116,3.6,θ,θ-Gem,-,34-Gem
103.30416666666666,38.43805555555555,6.3,-,-,-,60-Aur
103.26249999999999,35.78861111111111,6.01,-,-,-,-
102.9125,3.0416666666666665,6.38,-,-,-,-
102.65,-25.778055555555554,6.33,-,-,-,-
102.59583333333333,-31.70611111111111,5.7,-,-,-,-
102.4875,-45.45,6.55,-,-,-,-
103.48749999999998,38.505,6.48,ψ,ψ-Aur,-,61-Aur
102.475,-46.61472222222223,5.14,-,-,-,-
102.71666666666667,-34.367222222222225,4.99,-,-,-,-
102.04583333333333,-61.94138888888889,3.27,α,α-Pic,-,-
103.20416666666668,8.380277777777778,5.77,-,-,-,-
103.09166666666668,-5.316111111111111,6.3,-,-,-,-
102.48333333333332,-50.61472222222223,2.93,τ,τ-Pup,-,-
102.4625,-53.62222222222222,4.4,-,-,-,-
103.34166666666665,10.996388888888887,6.24,-,-,-,-
103.8125,45.82638888888889,6.34,-,-,-,-
103.80833333333332,43.91,6.13,-,-,-,-
102.925,-36.23027777777778,5.96,-,-,-,-
100.00833333333333,-80.81361111111111,5.64,ζ,ζ-Men,-,-
104.31666666666668,58.4225,4.35,-,-,-,15-Lyn
104.30416666666667,57.56333333333333,6.05,-,-,-,-
102.50416666666666,-60.24916666666667,6.11,-,-,-,-
102.88333333333333,-48.2925,6.42,-,-,-,-
103.65833333333335,13.177777777777777,4.65,-,-,-,38-Gem
103.32499999999999,-19.032777777777778,5.64,-,-,-,-
103.33749999999999,-18.933333333333334,6.14,-,-,-,-
103.25,-26.9575,6.4,-,-,-,-
104.13333333333334,46.274166666666666,5.87,ψ,ψ-Aur,-,-
103.825,25.375555555555557,5.73,-,-,-,37-Gem
103.53333333333335,-5.8525,6.41,-,-,-,-
103.38333333333333,-20.224166666666665,4.83,-,-,-,15-CMa
103.60000000000001,-1.1269444444444445,5.45,-,-,-,-
104.23333333333333,46.705000000000005,5.86,-,-,-,-
103.54583333333332,-12.038611111111111,4.07,θ,θ-CMa,-,14-CMa
103.1625,-42.504444444444445,6.52,-,-,-,-
103.38749999999999,-28.539722222222224,6.04,-,-,-,-
103.675,-1.756388888888889,6.21,-,-,-,-
103.47916666666666,-24.539166666666667,6.21,-,-,-,-
103.19583333333335,-43.975833333333334,6.46,-,-,-,-
103.52916666666667,-24.183888888888887,3.87,ο¹,ο¹-CMa,-,16-CMa
105.3375,70.80805555555555,5.68,-,-,-,-
103.74166666666666,-2.803611111111111,6.04,-,-,-,-
103.55416666666667,-23.928333333333335,6.91,-,-,-,-
103.89166666666667,8.324722222222222,6.29,-,-,-,-
104.40416666666667,45.094166666666666,4.9,-,-,-,16-Lyn
104.25000000000001,33.68111111111111,5.89,-,-,-,-
103.19166666666668,-54.09,6.57,-,-,-,-
103.75833333333334,-20.404722222222222,5.74,-,-,-,17-CMa
104.10416666666669,9.956388888888888,5.92,-,-,-,-
103.90416666666667,-20.136388888888888,4.68,π,π-CMa,-,19-CMa
103.60833333333333,-42.36555555555556,6.32,-,-,-,-
103.1875,-59.34111111111111,6.41,-,-,-,-
104.02500000000002,-14.043611111111112,5.0,μ,μ-CMa,-,18-CMa
103.50833333333334,-50.611666666666665,6.26,-,-,-,-
103.94166666666668,-22.941388888888888,5.3,-,-,-,-
104.03333333333335,-17.054166666666667,4.37,ι,ι-CMa,-,20-CMa
104.35416666666669,11.9075,6.27,-,-,-,-
103.97500000000001,-31.790000000000003,6.36,-,-,-,-
104.25000000000001,-8.178888888888888,6.34,-,-,-,-
104.75833333333334,38.05222222222222,6.0,-,-,-,62-Aur
104.69583333333334,26.08111111111111,6.1,-,-,-,39-Gem
102.8625,-70.96333333333334,5.4,ι,ι-Vol,-,-
104.30833333333332,-22.203333333333333,6.61,-,-,-,-
104.1875,-35.34166666666667,6.29,-,-,-,-
104.86250000000001,25.914166666666667,6.4,-,-,-,40-Gem
104.6625,7.621944444444445,6.27,-,-,-,-
104.38749999999999,-24.630555555555556,5.46,-,-,-,-
104.06666666666668,-48.721111111111114,4.95,-,-,-,-
115.12500000000001,87.02,5.07,-,-,-,-
104.73750000000001,3.602222222222222,5.97,-,-,-,-
104.425,-27.5375,6.23,-,-,-,-
104.32083333333333,-35.5075,6.23,-,-,-,-
104.83333333333333,7.316944444444444,6.35,-,-,-,-
104.52916666666667,-27.16472222222222,6.37,-,-,-,-
105.0625,16.078888888888887,5.68,-,-,-,41-Gem
104.64583333333334,-25.413888888888888,5.59,-,-,-,-
106.46249999999999,70.73194444444445,6.5,-,-,-,-
104.65416666666667,-28.97222222222222,1.5,ε,ε-CMa,Adhara,21-CMa
104.60416666666667,-34.111666666666665,5.06,-,-,-,-
105.32083333333333,32.41444444444444,6.59,-,-,-,-
104.67916666666667,-30.997777777777777,6.42,-,-,-,-
105.075,-5.366944444444444,6.3,-,-,-,-
104.9125,-21.603333333333335,6.26,-,-,-,-
105.09583333333333,-8.406944444444445,5.96,-,-,-,-
105.03333333333333,-20.15888888888889,6.31,-,-,-,-
104.67083333333335,-45.768055555555556,6.22,-,-,-,-
105.1625,-9.203055555555554,6.49,-,-,-,-
105.07916666666667,-22.119444444444444,6.53,-,-,-,-
105.42083333333333,4.8180555555555555,6.63,-,-,-,-
105.6,24.21527777777778,5.18,ω,ω-Gem,-,42-Gem
105.60416666666667,17.755555555555556,5.94,-,-,-,-
105.57083333333333,15.336111111111112,5.74,-,-,-,-
105.47916666666666,5.5575,6.59,-,-,-,-
104.6625,-55.72944444444445,6.27,-,-,-,-
105.63749999999999,16.674166666666668,5.82,-,-,-,-
105.46666666666665,-1.3455555555555554,6.17,-,-,-,-
105.175,-28.489444444444445,6.27,-,-,-,-
104.64999999999999,-56.39472222222222,6.45,-,-,-,-
105.48333333333333,-5.722222222222222,5.2,-,-,-,-
105.27083333333334,-25.21527777777778,5.63,-,-,-,-
105.20416666666667,-33.46527777777778,6.4,-,-,-,-
106.50416666666665,59.801944444444445,6.44,-,-,-,-
105.875,29.33722222222222,5.93,-,-,-,-
106.4125,52.75805555555556,6.12,-,-,-,-
106.28750000000001,47.775,6.38,-,-,-,-
105.42916666666667,-27.934722222222224,3.47,σ,σ-CMa,-,22-CMa
105.82083333333333,9.138333333333334,5.97,-,-,-,-
105.725,-4.239166666666667,4.99,-,-,-,19-Mon
105.90833333333333,10.951666666666666,5.13,-,-,-,-
106.025,20.57027777777778,3.79,ζ,ζ-Gem,-,43-Gem
105.96249999999999,12.594444444444445,5.98,-,-,-,-
105.2125,-51.402499999999996,5.14,-,-,-,-
105.75416666666666,-23.833333333333332,3.02,ο²,ο²-CMa,-,24-CMa
106.08333333333333,1.4883333333333333,6.57,-,-,-,-
106.02083333333333,-5.323611111111111,5.62,-,-,-,-
105.9875,-10.124166666666667,6.45,-,-,-,-
105.9375,-15.633333333333333,4.12,γ,γ-CMa,-,23-CMa
105.5625,-43.40416666666667,6.43,-,-,-,-
106.32499999999999,22.63722222222222,6.02,-,-,-,44-Gem
106.54583333333332,34.473888888888894,5.55,-,-,-,-
105.27083333333334,-58.94,6.02,-,-,-,-
104.95833333333334,-67.91611111111112,5.17,-,-,-,-
106.4125,9.185833333333333,5.78,-,-,-,-
106.19583333333334,-22.03222222222222,6.09,-,-,-,-
106.84166666666667,34.00944444444445,5.91,-,-,-,-
106.00833333333333,-42.33722222222222,5.2,-,-,-,-
105.9875,-43.60805555555556,5.54,-,-,-,-
105.99166666666666,-43.611666666666665,6.79,-,-,-,-
106.85416666666667,28.177222222222223,6.48,-,-,-,-
106.45416666666667,-10.661111111111111,6.49,-,-,-,-
106.83749999999999,22.703611111111112,7.68,-,-,-,-
105.97083333333333,-49.58388888888889,4.93,-,-,-,-
107.05416666666666,33.83222222222223,6.28,-,-,-,-
105.8125,-59.17805555555555,5.5,-,-,-,-
107.15,37.44499999999999,6.16,-,-,-,-
106.775,4.910277777777778,6.11,-,-,-,-
106.38333333333333,-34.77777777777778,6.14,-,-,-,-
106.66666666666666,-11.294166666666667,5.39,-,-,-,-
106.64583333333333,-12.393888888888888,6.48,-,-,-,-
106.5,-30.655555555555555,6.34,-,-,-,-
108.49166666666666,71.81666666666666,6.35,-,-,-,-
106.95416666666667,7.471111111111111,5.75,-,-,-,-
106.07499999999999,-56.749722222222225,5.17,-,-,-,-
107.09166666666667,15.930833333333332,5.44,-,-,-,45-Gem
106.50833333333333,-38.382777777777775,6.11,-,-,-,-
106.71666666666665,-24.960555555555555,6.08,-,-,-,-
106.31666666666666,-50.36027777777778,6.46,-,-,-,-
106.75,-26.657777777777778,6.62,-,-,-,-
104.14166666666667,-79.42027777777778,5.45,θ,θ-Men,-,-
106.84166666666667,-23.840277777777775,5.71,-,-,-,-
106.77916666666665,-40.89333333333333,5.79,-,-,-,-
107.525,21.246944444444445,6.43,-,-,-,-
107.09583333333335,-26.393333333333334,1.84,δ,δ-CMa,Wezen,25-CMa
107.33333333333334,-10.347222222222223,6.21,-,-,-,-
107.20416666666668,-24.04416666666667,6.65,-,-,-,-
107.91250000000001,39.32055555555556,4.9,-,-,-,63-Aur
107.78333333333335,30.24527777777778,4.41,τ,τ-Gem,-,46-Gem
106.80416666666666,-51.967777777777776,5.96,-,-,-,-
107.3875,-16.234722222222224,6.03,-,-,-,-
107.84583333333333,26.85666666666667,5.78,-,-,-,47-Gem
107.55416666666666,-4.237222222222222,4.92,-,-,-,20-Mon
107.2125,-39.655833333333334,4.83,-,-,-,-
108.34583333333333,51.428888888888885,5.47,-,-,-,-
107.42500000000001,-25.231111111111108,5.69,-,-,-,-
107.53750000000001,-18.685277777777777,6.23,-,-,-,-
108.10833333333333,24.128333333333334,5.85,-,-,-,48-Gem
107.84583333333333,-0.30194444444444446,5.45,-,-,-,21-Mon
107.57916666666667,-27.49138888888889,5.46,-,-,-,-
111.33749999999999,81.2575,6.31,-,-,-,-
107.9625,5.654722222222222,6.09,-,-,-,-
108.20416666666668,27.22472222222222,6.43,-,-,-,-
106.55833333333332,-68.83722222222222,6.47,-,-,-,-
108.02916666666667,5.474722222222223,6.16,-,-,-,-
107.9625,-0.49277777777777776,4.15,δ,δ-Mon,-,22-Mon
108.975,59.6375,5.2,-,-,-,18-Lyn
107.92083333333333,-20.883055555555558,5.84,-,-,-,-
108.34166666666667,16.15888888888889,5.0,-,-,-,51-Gem
108.05,-25.9425,5.92,-,-,-,26-CMa
107.69583333333334,-48.93222222222222,5.14,-,-,-,-
108.01666666666667,-30.821666666666665,6.1,-,-,-,-
108.95833333333333,47.24,5.58,-,-,-,-
108.60833333333333,24.710833333333333,6.89,-,-,-,-
108.27916666666667,-11.251388888888888,5.78,-,-,-,-
108.10000000000001,-27.474166666666665,6.59,-,-,-,-
108.67083333333333,24.884999999999998,5.82,-,-,-,52-Gem
108.10416666666667,-36.544444444444444,5.96,-,-,-,-
108.0625,-40.49888888888889,5.31,-,-,-,-
108.63333333333333,12.115833333333333,5.62,-,-,-,-
108.58333333333333,3.111388888888889,5.35,-,-,-,-
108.34583333333333,-22.673333333333336,6.01,-,-,-,-
108.54583333333333,-3.901388888888889,5.75,-,-,-,-
108.5625,-9.9475,5.9,-,-,-,-
108.45,-22.906388888888888,6.36,-,-,-,-
108.4,-27.35638888888889,6.12,-,-,-,-
107.17500000000001,-70.49722222222222,5.69,γ¹,γ¹-Vol,-,-
107.18333333333334,-70.49888888888889,3.78,γ²,γ²-Vol,-,-
109.38749999999999,52.130833333333335,5.92,-,-,-,-
108.9875,27.8975,5.71,-,-,-,53-Gem
108.61666666666666,-10.316666666666666,6.03,-,-,-,-
108.1375,-46.75944444444445,4.49,-,-,-,-
108.44583333333333,-31.083888888888886,6.6,-,-,-,-
112.76666666666668,82.4113888888889,4.96,-,-,-,-
108.4875,-30.34,6.33,-,-,-,-
108.82916666666667,-0.1613888888888889,6.41,-,-,-,24-Mon
108.5625,-26.352500000000003,4.66,-,-,-,27-CMa
108.30416666666666,-45.183055555555555,4.89,-,-,-,-
108.9125,7.977777777777778,5.82,-,-,-,-
108.38333333333333,-44.63972222222222,5.1,-,-,-,-
108.7,-26.772777777777776,3.85,ω,ω-CMa,-,28-CMa
108.7125,-27.03805555555556,5.58,-,-,-,-
109.62916666666666,49.465,5.05,-,-,-,-
108.92916666666667,-10.58388888888889,5.95,-,-,-,-
109.50833333333334,40.88333333333333,5.78,-,-,-,64-Aur
108.00833333333334,-63.19,6.02,-,-,-,-
108.94583333333333,-23.740555555555556,6.32,-,-,-,-
108.8375,-30.68638888888889,5.36,-,-,-,-
109.51666666666667,30.95583333333333,6.24,-,-,-,-
109.05833333333332,-15.585833333333333,5.46,-,-,-,-
108.7375,-41.42583333333333,5.94,-,-,-,-
109.32083333333333,6.680555555555556,6.65,-,-,-,-
108.6875,-46.849722222222226,5.72,-,-,-,-
108.65833333333333,-48.27166666666667,4.76,-,-,-,-
109.52083333333334,16.540277777777778,3.58,λ,λ-Gem,-,54-Gem
109.14999999999999,-23.315555555555555,4.79,-,-,-,-
109.37916666666666,-6.680000000000001,6.29,-,-,-,-
109.14583333333333,-27.88111111111111,4.64,-,-,-,-
108.8375,-52.499722222222225,5.97,-,-,-,-
109.23749999999998,-30.896666666666665,6.32,-,-,-,-
109.12916666666666,-38.31888888888889,5.8,-,-,-,-
109.20416666666668,-36.59277777777778,5.03,-,-,-,-
109.0625,-46.77444444444444,5.66,-,-,-,-
110.57083333333333,59.901944444444446,6.35,-,-,-,47-Cam
109.28333333333335,-37.097500000000004,2.7,π,π-Pup,-,-
109.44583333333333,-26.797500000000003,6.46,-,-,-,-
110.26249999999999,42.65555555555555,6.35,-,-,-,-
110.32083333333333,45.22805555555556,5.77,-,-,-,-
110.02916666666667,21.98222222222222,3.53,δ,δ-Gem,-,55-Gem
109.84166666666665,2.7405555555555554,5.89,-,-,-,-
109.94583333333333,7.142777777777778,5.91,-,-,-,-
110.02499999999999,15.142777777777777,6.45,-,-,-,-
109.66666666666667,-24.55888888888889,4.98,-,-,-,29-CMa
109.675,-24.954166666666666,4.4,τ,τ-CMa,-,30-CMa
110.70833333333333,55.28444444444444,6.53,-,-,-,19-Lyn
110.71666666666665,55.28138888888889,5.45,-,-,-,19-Lyn
109.75833333333334,-19.280277777777776,6.09,-,-,-,-
109.7125,-26.585833333333333,5.28,-,-,-,-
109.575,-36.73416666666667,4.66,-,-,-,-
109.86666666666666,-16.395,5.7,-,-,-,-
109.51666666666667,-43.986666666666665,5.85,-,-,-,-
109.65833333333332,-36.74277777777778,5.11,-,-,-,-
109.63749999999999,-39.21027777777778,5.25,-,-,-,-
110.55416666666665,38.99611111111111,6.4,-,-,-,-
110.50833333333334,36.760555555555555,5.13,-,-,-,65-Aur
109.80416666666665,-33.727222222222224,6.3,-,-,-,-
110.48333333333333,20.44361111111111,5.1,-,-,-,56-Gem
110.24166666666666,-14.36,5.45,-,-,-,-
113.66250000000001,80.89666666666668,6.41,-,-,-,-
110.31666666666665,-8.878333333333334,6.55,-,-,-,-
110.22083333333333,-22.851666666666667,6.61,-,-,-,-
110.22916666666666,-26.96361111111111,6.01,-,-,-,-
110.51249999999999,0.17722222222222223,5.99,-,-,-,-
110.26666666666667,-25.891388888888887,5.87,-,-,-,-
109.20416666666668,-67.95722222222223,3.98,δ,δ-Vol,-,-
111.2375,51.88722222222222,5.8,-,-,-,-
111.03333333333333,40.67222222222222,5.19,-,-,-,66-Aur
110.50833333333334,-8.979166666666666,6.43,-,-,-,-
110.575,-2.978888888888889,6.23,-,-,-,-
110.86666666666667,25.050555555555555,5.03,-,-,-,57-Gem
111.85416666666667,66.33166666666666,6.47,-,-,-,-
110.86666666666667,22.94527777777778,6.02,-,-,-,58-Gem
110.60416666666666,-5.982777777777778,5.82,-,-,-,-
110.55416666666665,-19.016666666666666,4.96,-,-,-,-
110.0875,-52.31166666666666,6.05,-,-,-,-
110.0875,-52.30972222222222,6.6,-,-,-,-
110.15833333333332,-52.086111111111116,5.39,-,-,-,-
111.1375,27.638055555555557,5.76,-,-,-,59-Gem
111.1125,15.517222222222223,6.41,-,-,-,-
111.67500000000001,49.21138888888889,4.64,-,-,-,21-Lyn
110.75,-31.92388888888889,5.43,-,-,-,-
111.24166666666667,11.669722222222221,5.3,-,-,-,1-CMi
111.42916666666666,27.798055555555557,3.79,ι,ι-Gem,-,60-Gem
110.87083333333335,-27.834166666666665,5.38,-,-,-,-
110.87916666666666,-32.202222222222225,5.39,-,-,-,-
110.975,-30.216944444444444,6.6,-,-,-,-
111.16666666666667,-16.20111111111111,5.33,-,-,-,-
111.07083333333334,-22.912777777777777,6.19,-,-,-,-
111.02083333333333,-29.303055555555556,2.45,η,η-CMa,Aludra,31-CMa
111.40833333333333,9.276111111111112,4.99,ε,ε-CMi,-,2-CMi
110.99166666666667,-35.83777777777778,6.31,-,-,-,-
112.71666666666667,68.46555555555555,5.64,-,-,-,-
111.20833333333334,-19.01222222222222,6.24,-,-,-,-
111.28333333333333,-13.751944444444444,5.78,-,-,-,-
111.46250000000002,-5.775,5.97,-,-,-,-
111.17916666666666,-31.80888888888889,5.35,-,-,-,-
111.70833333333334,21.535833333333336,6.54,-,-,-,-
111.6125,10.608333333333333,6.37,-,-,-,-
111.73333333333332,20.25722222222222,5.93,-,-,-,61-Gem
111.5125,-4.5375,6.76,-,-,-,-
111.32916666666667,-21.982777777777777,6.05,-,-,-,-
111.67083333333333,11.009166666666667,6.41,-,-,-,-
111.35416666666667,-25.217777777777776,5.78,-,-,-,-
111.19583333333334,-37.29,6.97,-,-,-,-
111.19583333333334,-37.29083333333333,6.84,-,-,-,-
112.21250000000002,48.18388888888889,5.72,-,-,-,-
111.78750000000001,8.289444444444444,2.9,β,β-CMi,-,3-CMi
111.93333333333334,21.445,5.22,-,-,-,63-Gem
111.42916666666666,-31.738611111111112,6.31,-,-,-,-
101.74166666666667,-87.025,6.47,-,-,-,-
112.48333333333332,49.6725,5.36,-,-,-,22-Lyn
111.66666666666666,-23.71222222222222,6.56,-,-,-,-
112.00833333333333,6.941944444444444,5.25,η,η-CMi,-,5-CMi
112.275,31.784444444444446,4.18,ρ,ρ-Gem,-,62-Gem
111.78333333333333,-17.864444444444445,5.63,-,-,-,-
112.03750000000001,8.925555555555555,4.32,γ,γ-CMi,-,4-CMi
111.74583333333332,-23.08611111111111,5.61,-,-,-,-
111.67500000000001,-34.14083333333333,5.9,-,-,-,-
112.33333333333334,28.118055555555557,5.05,-,-,-,64-Gem
112.19583333333334,15.109444444444444,6.22,-,-,-,-
111.96250000000002,-11.556944444444445,5.79,-,-,-,-
111.92500000000001,-22.859722222222224,5.95,-,-,-,-
112.45000000000002,27.91611111111111,5.01,-,-,-,65-Gem
111.58749999999999,-51.01833333333333,5.1,-,-,-,-
111.99583333333332,-29.15583333333333,5.54,-,-,-,-
112.44583333333334,12.006666666666666,4.54,-,-,-,6-CMi
112.32499999999999,-1.9052777777777776,5.59,-,-,-,-
112.35416666666667,-7.551111111111111,5.86,-,-,-,-
112.34166666666667,-10.326666666666666,5.75,-,-,-,-
112.33749999999999,-14.999166666666666,6.05,-,-,-,-
112.09166666666667,-37.81027777777778,6.58,-,-,-,-
112.21250000000002,-31.848333333333333,6.38,-,-,-,-
112.21250000000002,-31.846944444444443,7.13,-,-,-,-
112.97916666666667,38.896388888888886,6.54,-,-,-,-
112.26666666666668,-31.45638888888889,5.77,-,-,-,-
112.46250000000002,-23.024444444444445,4.85,-,-,-,-
112.27083333333333,-38.81222222222222,5.43,-,-,-,-
112.71250000000002,-5.226388888888889,6.24,-,-,-,-
112.95000000000002,17.08611111111111,5.42,-,-,-,-
112.30416666666666,-43.30138888888889,3.25,σ,σ-Pup,-,-
113.20833333333334,22.887777777777778,6.54,-,-,-,-
113.02083333333333,1.9144444444444444,5.25,δ¹,δ¹-CMi,-,7-CMi
112.67500000000001,-30.96222222222222,4.65,-,-,-,-
112.67500000000001,-37.33972222222222,6.65,-,-,-,-
113.02083333333333,-8.880833333333333,5.9,-,-,-,-
112.49583333333332,-52.651111111111106,5.87,-,-,-,-
112.85416666666667,-36.15277777777778,6.68,-,-,-,-
113.4,15.826666666666666,5.25,-,-,-,68-Gem
113.29583333333333,3.290277777777778,5.59,δ²,δ²-CMi,-,8-CMi
112.21250000000002,-64.51,6.39,-,-,-,-
112.92500000000001,-35.88777777777778,6.61,-,-,-,-
113.65,31.88861111111111,2.88,α,α-Gem,Castor,66-Gem
113.65,31.888333333333332,1.98,α,α-Gem,-,66-Gem
112.625,-54.39944444444444,5.96,-,-,-,-
113.52083333333333,10.568333333333333,6.28,-,-,-,-
114.19583333333333,55.75527777777778,5.92,-,-,-,-
113.09166666666667,-35.96138888888889,6.3,-,-,-,-
113.78333333333333,30.961111111111112,5.33,-,-,-,-
113.34166666666667,-14.338333333333335,6.21,-,-,-,-
113.98333333333332,43.03111111111111,6.3,-,-,-,-
113.32916666666667,-19.412499999999998,5.66,-,-,-,-
113.28750000000001,-24.710833333333333,5.85,-,-,-,-
113.56249999999999,3.3713888888888888,5.81,δ³,δ³-CMi,-,9-CMi
113.44583333333334,-14.523888888888889,4.97,-,-,-,-
114.12916666666665,46.180277777777775,5.65,-,-,-,-
113.69166666666666,2.725,6.55,-,-,-,-
113.97916666666667,26.895833333333332,4.06,υ,υ-Gem,-,69-Gem
113.5125,-22.296111111111113,4.45,-,-,-,-
113.30416666666666,-40.05888888888889,6.26,-,-,-,-
113.30416666666666,-43.08638888888889,6.52,-,-,-,-
113.57499999999999,-23.473611111111108,5.83,-,-,-,-
113.57916666666667,-23.47472222222222,5.87,-,-,-,-
113.4625,-36.33833333333334,5.54,-,-,-,-
113.61666666666667,-26.116666666666667,6.65,-,-,-,-
113.54999999999998,-33.46333333333334,6.11,-,-,-,-
114.47083333333333,48.77361111111111,5.92,-,-,-,-
114.32083333333333,40.025277777777774,6.38,-,-,-,-
113.64166666666665,-27.011944444444445,5.77,-,-,-,-
113.49166666666667,-39.905833333333334,6.76,-,-,-,-
114.14166666666665,5.861666666666666,5.91,-,-,-,-
111.40833333333333,-79.09416666666667,5.53,ε,ε-Men,-,-
114.06666666666666,-8.311388888888889,6.27,-,-,-,-
114.0125,-14.492777777777777,5.7,-,-,-,-
113.84166666666667,-28.369444444444444,4.64,-,-,-,-
114.02916666666667,-22.160555555555554,6.34,-,-,-,-
114.63333333333333,35.04861111111111,5.56,-,-,-,70-Gem
113.66250000000001,-51.474722222222226,6.28,-,-,-,-
114.55833333333332,24.360277777777778,6.27,-,-,-,-
114.31666666666668,-4.111111111111111,5.13,-,-,-,25-Mon
114.17083333333333,-19.702222222222222,5.74,-,-,-,-
115.20416666666668,57.08277777777778,6.06,-,-,-,23-Lyn
114.78750000000002,34.58416666666667,4.9,ο,ο-Gem,-,71-Gem
114.79583333333332,24.222499999999997,6.17,-,-,-,-
114.40833333333335,-14.44111111111111,6.53,-,-,-,-
114.31666666666668,-23.775,6.37,-,-,-,-
113.9125,-52.53388888888889,4.94,-,-,-,-
